adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,https://www.sec.gov/dera/data/financial-statement-data-sets.html 
0000002178-20-000103,2178,"ADAMS RESOURCES & ENERGY, INC.",5172,US,TX,HOUSTON,77027,17 S. BRIAR HOLLOW LN.,,713-881-3600,US,TX,HOUSTON,77001,P O BOX 844,,US,DE,741753147,ADAMS RESOURCES & ENERGY INC,19920703,2-ACC,0,1231,8-K,20200731,,,20200806,31:00.0,0,0,ae-20200806_htm.xml,1,,
0000002178-20-000105,2178,"ADAMS RESOURCES & ENERGY, INC.",5172,US,TX,HOUSTON,77027,17 S. BRIAR HOLLOW LN.,,713-881-3600,US,TX,HOUSTON,77001,P O BOX 844,,US,DE,741753147,ADAMS RESOURCES & ENERGY INC,19920703,2-ACC,0,1231,10-Q,20200630,2020,Q2,20200806,36:00.0,0,1,ae-20200630_htm.xml,1,,
0000002488-20-000101,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,8-K,20200731,,,20200728,20:00.0,0,0,amd-20200728_htm.xml,1,,
0000002488-20-000103,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200729,52:00.0,0,1,amd-20200627_htm.xml,1,,
0000002488-20-000110,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,8-K,20200731,,,20200811,12:00.0,0,0,amd-20200806_htm.xml,1,,
0000002969-20-000032,2969,AIR PRODUCTS & CHEMICALS INC /DE/,2810,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,6104814911,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,US,DE,231274455,,,1-LAF,0,930,8-K,20200731,,,20200723,24:00.0,0,0,apd-20200723_htm.xml,1,,
0000002969-20-000035,2969,AIR PRODUCTS & CHEMICALS INC /DE/,2810,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,6104814911,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,US,DE,231274455,,,1-LAF,0,930,10-Q,20200630,2020,Q3,20200723,39:00.0,0,1,apd-20200630_htm.xml,1,,
0000003153-20-000018,3153,ALABAMA POWER CO,4911,US,AL,BIRMINGHAM,35291,600 N 18TH ST,P O BOX 2641,2052571000,US,AL,BIRMINGHAM,35291,600 N 18TH ST,,US,AL,630004250,,,,0,1231,8-K,20200831,,,20200827,59:00.0,0,0,ala8-k2020asn8x20_htm.xml,1,,
0000003499-20-000022,3499,ALEXANDERS INC,6798,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,201-587-8541,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,US,DE,510100517,,,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200803,18:00.0,0,1,alx10-q63020_htm.xml,1,,
0000003499-20-000026,3499,ALEXANDERS INC,6798,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,201-587-8541,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,US,DE,510100517,,,1-LAF,0,1231,8-K,20200831,,,20200825,55:00.0,0,0,alx2020-8xk1_htm.xml,1,,
0000003499-20-000029,3499,ALEXANDERS INC,6798,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,201-587-8541,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,US,DE,510100517,,,1-LAF,0,1231,8-K,20200831,,,20200914,26:00.0,0,0,alx2020-8xk91420_htm.xml,1,,
0000003570-20-000088,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200806,19:00.0,0,1,cei2020form10q2ndqtr_htm.xml,1,,
0000003570-20-000091,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20200731,,,20200806,32:00.0,0,0,cei2020form8k2ndqtrer_htm.xml,1,,
0000003570-20-000099,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20200831,,,20200909,02:00.0,0,0,lng-20200909_htm.xml,1,,
0000003570-20-000101,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K,20200930,,,20200930,11:00.0,0,0,lng-20200924_htm.xml,1,,
0000004127-20-000044,4127,SKYWORKS SOLUTIONS INC,3674,US,CA,IRVINE,92617,5260 CALIFORNIA AVENUE,,9492313000,US,CA,IRVINE,92617,5260 CALIFORNIA AVENUE,,US,DE,42302115,SKYWORKS SOLUTIONS INC,20020627,1-LAF,0,930,8-K,20200731,,,20200723,03:00.0,0,0,swks-20200723_htm.xml,1,,
0000004127-20-000046,4127,SKYWORKS SOLUTIONS INC,3674,US,CA,IRVINE,92617,5260 CALIFORNIA AVENUE,,9492313000,US,CA,IRVINE,92617,5260 CALIFORNIA AVENUE,,US,DE,42302115,SKYWORKS SOLUTIONS INC,20020627,1-LAF,0,930,10-Q,20200630,2020,Q3,20200724,36:00.0,0,1,swks-20200626_htm.xml,1,,
0000004281-20-000160,4281,HOWMET AEROSPACE INC.,3350,US,PA,PITTSBURGH,15212-5872,201 ISABELLA STREET,SUITE 200,(412) 553-1940,US,PA,PITTSBURGH,15212-5872,201 ISABELLA STREET,,US,DE,250317820,ARCONIC INC.,20161101,1-LAF,0,1231,10-Q,20200630,2020,Q2,20200810,42:00.0,0,1,arnc-20200630_htm.xml,1,,
0000004457-20-000073,4457,AMERCO /NV/,7510,US,NV,RENO,89511,5555 KIETZKE LANE STE 100,,7756886300,US,NV,RENO,89511,5555 KIETZKE LANE,SUITE 100,US,NV,880106815,AMERCO,19770926,1-LAF,0,331,10-Q,20200630,2021,Q1,20200805,03:00.0,0,1,uhal-20200630_htm.xml,1,,
0000004457-20-000077,4457,AMERCO /NV/,7510,US,NV,RENO,89511,5555 KIETZKE LANE STE 100,,7756886300,US,NV,RENO,89511,5555 KIETZKE LANE,SUITE 100,US,NV,880106815,AMERCO,19770926,1-LAF,0,331,8-K,20200831,,,20200821,06:00.0,0,0,uhal-20200820_htm.xml,1,,
0000004904-20-000061,4904,AMERICAN ELECTRIC POWER CO INC,4911,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,614-716-1000,US,OH,COLUMBUS,43215,1 RIVERSIDE PLAZA,,US,NY,134922640,KINGSPORT UTILITIES INC,19660906,1-LAF,0,1231,8-K,20200731,,,20200806,05:00.0,1,0,aep-20200806_htm.xml,1,,
