adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0000002178-19-000107,2178,"ADAMS RESOURCES & ENERGY, INC.",5172,US,TX,HOUSTON,77027,17 S. BRIAR HOLLOW LN.,,713-881-3600,US,TX,HOUSTON,77001,P O BOX 844,,US,DE,741753147,ADAMS RESOURCES & ENERGY INC,19920703,2-ACC,0,1231,10-Q,20190930,2019,Q3,20191106,31:00.0,0,1,ae-20190930_htm.xml,1,
0000002488-19-000157,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191029,11:00.0,0,0,a20191029q319earnings8_htm.xml,1,
0000002488-19-000159,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191030,17:00.0,0,1,amd0928201910q_htm.xml,1,
0000002488-19-000165,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191112,26:00.0,0,0,amdform8kequitysales11_htm.xml,1,
0000002488-19-000178,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,8-K,20191130,2019,FY,20191202,51:00.0,0,0,amdform8kequitysales11_htm.xml,1,
0000002488-19-000186,2488,ADVANCED MICRO DEVICES INC,3674,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,(408) 749-4000,US,CA,SANTA CLARA,95054,2485 AUGUSTINE DRIVE,,US,DE,941692300,,,1-LAF,0,1231,8-K,20191130,2019,FY,20191216,20:00.0,0,0,appointmentofnewdirect_htm.xml,1,
0000002969-19-000047,2969,AIR PRODUCTS & CHEMICALS INC /DE/,2810,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,6104814911,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,US,DE,231274455,,,1-LAF,0,930,8-K,20191031,2020,Q1,20191107,07:00.0,0,0,form8-k30sep2019_htm.xml,1,
0000002969-19-000051,2969,AIR PRODUCTS & CHEMICALS INC /DE/,2810,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,6104814911,US,PA,ALLENTOWN,18195-1501,7201 HAMILTON BLVD,,US,DE,231274455,,,1-LAF,1,930,10-K,20190930,2019,FY,20191126,55:00.0,0,1,apd-10xkx30sep19_htm.xml,1,
0000003499-19-000021,3499,ALEXANDERS INC,6798,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,201-587-8541,US,NJ,PARAMUS,7652,210 ROUTE 4 EAST,,US,DE,510100517,,,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191028,16:00.0,0,1,alx10-q93019_htm.xml,1,
0000003545-19-000143,3545,"ALICO, INC.",100,US,FL,"FT. MYERS,",33913,10070 DANIELS INTERSTATE COURT STE. 100,,239-226-2000,US,FL,"FT. MYERS,",33913,10070 DANIELS INTERSTATE COURT STE. 100,,US,FL,590906081,ALICO INC,19920703,2-ACC,0,930,10-K,20190930,2019,FY,20191205,48:00.0,0,1,alco-93019x10k_htm.xml,1,
0000003570-19-000087,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,8-K/A,20190930,2019,Q3,20191004,11:00.0,0,0,cei2019form8kacchallia_htm.xml,1,
0000003570-19-000089,3570,CHENIERE ENERGY INC,4924,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,7133755000,US,TX,HOUSTON,77002,700 MILAM ST.,SUITE 1900,US,DE,954352386,CHENIERE ENERGY INC,19960827,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191101,53:00.0,0,1,cei2019form10q3rdqtr_htm.xml,1,
