cik,name,countryba,stprba,cityba,zipba,bas1,form,fye,fy,fp,instance,ticker,latitude,longitude
1089511,ALASKA COMMUNICATIONS SYSTEMS GROUP INC,US,AK,ANCHORAGE,99503,600 TELEPHONE AVENUE,10-K,1231.0,2019.0,FY,alsk-20191231.xml,alsk,61.186752,-149.87502
878004,CHUGACH ELECTRIC ASSOCIATION INC,US,AK,ANCHORAGE,99518,5601 ELECTRON DR,10-K,1231.0,2019.0,FY,c004-20191231.xml,c004,61.16968,-149.91289
1163370,NORTHRIM BANCORP INC,US,AK,ANCHORAGE,99524-1489,P O BOX 241489,10-K,1231.0,2019.0,FY,nrim-20191231.xml,nrim,Missing,Missing
926282,ADTRAN INC,US,AL,HUNTSVILLE,35806,901 EXPLORER BLVD,10-K,1231.0,2019.0,FY,adtn-10k_20191231_htm.xml,adtn,34.721348,-86.68435
750574,"AUBURN NATIONAL BANCORPORATION, INC",US,AL,AUBURN,36831-3110,100 N GAY ST,10-K,1231.0,2019.0,FY,aubn-20191231.xml,aubn,32.608265,-85.479904
1169445,COMPUTER PROGRAMS & SYSTEMS INC,US,AL,MOBILE,36695,6600 WALL STREET,10-K,1231.0,2019.0,FY,cpsi-20191231_htm.xml,cpsi,30.670774,-88.1957
1718227,"CONSTRUCTION PARTNERS, INC.",US,AL,DOTHAN,36303,290 HEALTHWEST DR.,10-K,930.0,2019.0,FY,road-20190930_htm.xml,road,31.237028,-85.45357
785161,ENCOMPASS HEALTH CORP,US,AL,BIRMINGHAM,35242,9001 LIBERTY PARKWAY,10-K,1231.0,2019.0,FY,ehc10k123119_htm.xml,ehc1,33.48555,-86.708305
717806,FIRST US BANCSHARES INC,US,AL,BIRMINGHAM,35243,3291 U.S. HIGHWAY 280,10-K,1231.0,2019.0,FY,fusb-20191231.xml,fusb,Missing,Missing
1017480,HIBBETT SPORTS INC,US,AL,BIRMINGHAM,35211,2700 MILAN COURT,10-K,131.0,2019.0,FY,hibb-20200201_htm.xml,hibb,33.429405,-86.88534
798081,LAKELAND INDUSTRIES INC,US,AL,DECATUR,35603,202 PRIDE LANE SW,10-K,131.0,2019.0,FY,lake-20200131.xml,lake,34.54481,-86.98238
1287865,MEDICAL PROPERTIES TRUST INC,US,AL,BIRMINGHAM,35242,1000 UBRAN CENTER DRIVE,10-K,1231.0,2019.0,FY,mpw-10k_20191231_htm.xml,mpw-,Missing,Missing
865058,NATIONAL SECURITY GROUP INC,US,AL,ELBA,36323,661 E DAVIS ST,10-K,1231.0,2019.0,FY,nsec12312019-10k_htm.xml,nsec,31.41374,-86.06825
1127703,PROASSURANCE CORP,US,AL,BIRMINGHAM,35209,100 BROOKWOOD PLACE,10-K,1231.0,2019.0,FY,pra-20191231x10k_htm.xml,pra-,33.465164,-86.77289
310826,PROTECTIVE LIFE INSURANCE CO,US,AL,BIRMINGHAM,35223,2801 HIGHWAY 280 SOUTH,10-K,1231.0,2019.0,FY,plico-20191231_htm.xml,plic,Missing,Missing
1281761,REGIONS FINANCIAL CORP,US,AL,BIRMINGHAM,35203,1900 FIFTH AVENUE NORTH,10-K,1231.0,2019.0,FY,rf-20191231x10k_htm.xml,rf-2,33.51749,-86.80947
1641601,RIVER FINANCIAL CORP,US,AL,PRATTVILLE,36066,2611 LEGENDS DRIVE,10-K,1231.0,2019.0,FY,ck0001641601-20191231.xml,ck00,Missing,Missing
1430723,"SERVISFIRST BANCSHARES, INC.",US,AL,BIRMINGHAM,35209,2500 WOODCREST PLACE,10-K,1231.0,2019.0,FY,sfbs20191231_10k_htm.xml,sfbs,Missing,Missing
773717,"STANDARD METALS PROCESSING, INC.",US,AL,GADSDEN,35901,611 WALNUT STREET,10-K,1231.0,2018.0,FY,smpr-20181231.xml,smpr,34.011368,-86.00835
773717,"STANDARD METALS PROCESSING, INC.",US,AL,GADSDEN,35901,611 WALNUT STREET,10-K,1231.0,2019.0,FY,smpr-20191231.xml,smpr,34.011368,-86.00835
1396009,VULCAN MATERIALS CO,US,AL,BIRMINGHAM,35242,1200 URBAN CENTER DRIVE,10-K,1231.0,2019.0,FY,vmc-20191231x10k_htm.xml,vmc-,33.483665,-86.704346
1691303,"WARRIOR MET COAL, INC.",US,AL,BROOKWOOD,35444,16243 HIGHWAY 216,10-K,1231.0,2019.0,FY,a123119form10-k_htm.xml,a123,Missing,Missing
799850,AMERICAS CARMART INC,US,AR,BENTONVILLE,72712,802 SOUTHEAST PLAZA AVE.,10-K,430.0,2020.0,FY,crmt-20200430.xml,crmt,36.333675,-94.198006
894405,ARCBEST CORP /DE/,US,AR,FORT SMITH,72916,8401 MCCLURE DRIVE,10-K,1231.0,2019.0,FY,arcb-20191231x10kb051b4_htm.xml,arcb,Missing,Missing
28917,"DILLARD'S, INC.",US,AR,LITTLE ROCK,72201,1600 CANTRELL RD,10-K,131.0,2019.0,FY,dds-02012020x10k_htm.xml,dds-,34.75289,-92.284386
1331520,HOME BANCSHARES INC,US,AR,CONWAY,72032,719 HARKRIDER,10-K,1231.0,2019.0,FY,homb-10k_20191231_htm.xml,homb,35.089222,-92.43678
728535,HUNT J B TRANSPORT SERVICES INC,US,AR,LOWELL,72745,615 JB HUNT CORPORATE DR,10-K,1231.0,2019.0,FY,jbht20191231_10k_htm.xml,jbht,36.24678,-94.1472
